Index,Date,Low,High,Close,Open
5017,28-02-2020,256.37,278.41,273.36,257.26
5016,27-02-2020,272.96,286,273.52,281.1
5015,26-02-2020,286.5,297.88,292.65,286.53
5014,25-02-2020,286.13,302.53,288.08,300.95
5013,24-02-2020,289.23,304.18,298.18,297.26
5012,21-02-2020,310.5,320.45,313.05,318.62
5011,20-02-2020,318.21,324.65,320.3,322.63
5010,19-02-2020,320,324.57,323.62,320
5009,18-02-2020,314.61,319.75,319,315.36
5008,14-02-2020,322.85,325.98,324.95,324.73
5007,13-02-2020,323.35,326.22,324.87,324.19
5006,12-02-2020,321.47,327.22,327.2,321.47
5005,11-02-2020,318.71,323.9,319.61,323.6
5004,10-02-2020,313.85,321.55,321.55,314.18
5003,07-02-2020,318,323.4,320.03,322.37
5002,06-02-2020,320.2648,325.22,325.21,322.57
5001,05-02-2020,318.95,324.76,321.45,323.52
5000,04-02-2020,313.6345,319.64,318.85,315.31
4999,03-02-2020,302.22,313.49,308.66,304.3
4998,31-01-2020,308.29,322.68,309.51,320.93
4997,30-01-2020,318.75,324.09,323.87,320.5435
4996,29-01-2020,321.38,327.85,324.34,324.45
4995,28-01-2020,312.19,318.4,317.69,312.6
4994,27-01-2020,304.88,311.77,308.95,310.06
4993,24-01-2020,317.5188,323.33,318.31,320.25
4992,23-01-2020,315.65,319.56,319.23,317.92
4991,22-01-2020,317.31,319.99,317.7,318.58
4990,21-01-2020,316,319.02,316.57,317.19
4989,17-01-2020,315,318.74,318.73,316.27
4988,16-01-2020,312.09,315.7,315.24,313.59
4987,15-01-2020,309.55,315.5,311.34,311.85
4986,14-01-2020,312.17,317.57,312.68,316.7
4985,13-01-2020,311.15,317.07,316.96,311.64
4984,10-01-2020,308.25,312.67,310.33,310.6
4983,09-01-2020,306.2,310.43,309.63,307.235
4982,08-01-2020,297.156,304.4399,303.19,297.16
4981,07-01-2020,297.48,300.9,298.39,299.84
4980,06-01-2020,292.75,299.96,299.8,293.79
4979,03-01-2020,296.5,300.58,297.43,297.15
4978,02-01-2020,295.19,300.6,300.35,296.24
4977,31-12-2019,289.52,293.68,293.65,289.93
4976,30-12-2019,285.22,292.69,291.52,289.46
4975,27-12-2019,288.12,293.97,289.8,291.12
4974,26-12-2019,284.7,289.98,289.91,284.82
4973,24-12-2019,282.9197,284.89,284.27,284.69
4972,23-12-2019,280.3735,284.25,284,280.53
4971,20-12-2019,278.56,282.65,279.44,282.23
4970,19-12-2019,278.95,281.18,280.02,279.5
4969,18-12-2019,279.12,281.9,279.74,279.8
4968,17-12-2019,278.8,281.77,280.41,279.57
4967,16-12-2019,276.98,280.79,279.86,277
4966,13-12-2019,270.93,275.3,275.15,271.46
4965,12-12-2019,267.321,272.5599,271.46,267.78
4964,11-12-2019,268.5,271.1,270.77,268.81
4963,10-12-2019,265.86,270.07,268.48,268.6
4962,09-12-2019,264.91,270.8,266.92,270
4961,06-12-2019,267.3,271,270.71,267.48
4960,05-12-2019,262.73,265.89,265.58,263.79
4959,04-12-2019,260.68,263.31,261.74,261.07
4958,03-12-2019,256.29,259.53,259.45,258.31
4957,02-12-2019,263.45,268.25,264.16,267.27
4956,29-11-2019,265.9,268,267.25,266.6
4955,27-11-2019,265.31,267.98,267.84,265.58
4954,26-11-2019,262.5,267.16,264.29,266.94
4953,25-11-2019,262.52,266.44,266.37,262.71
4952,22-11-2019,260.84,263.18,261.78,262.59
4951,21-11-2019,261.18,264.005,262.01,263.69
4950,20-11-2019,260.4,266.083,263.19,265.54
4949,19-11-2019,265.3926,268,266.29,267.9
4948,18-11-2019,264.23,267.43,267.1,265.8
4947,15-11-2019,263.01,265.78,265.76,263.68
